complaint_id,category,subcategory,title,description,location_address,ward_number,latitude,longitude,priority,status,created_date,resolved_date,resolution_time_hours
27,"electricity","outage","Live wire hanging on road in Indiranagar","Live wire hanging on road in Indiranagar. Immediate safety hazard.","Indiranagar Ward 167",11,12.9566,77.4909,"high","in-progress",2024-09-10,,
28,"electricity","transformer","Frequent short circuits causing appliance damage in Yelahanka","Frequent short circuits causing appliance damage in Yelahanka.","Yelahanka Ward 105",42,13.1007,77.7073,"high","pending",2024-09-27,,
29,"water","quality","Major pipeline burst causing flooding in Sarjapur Road","Major pipeline burst causing flooding in Sarjapur Road. Water wastage and property damage.","Sarjapur Road Ward 13",101,12.9210,77.6562,"high","in-progress",2024-09-09,,
30,"roads","maintenance","Bridge damage near Marathahalli","Bridge damage near Marathahalli. Structural safety concern.","Marathahalli Ward 122",135,12.8424,77.5619,"high","in-progress",2024-09-01,,
31,"electricity","transformer","Frequent short circuits causing appliance damage in Sarjapur Road","Frequent short circuits causing appliance damage in Sarjapur Road.","Sarjapur Road Ward 98",137,12.9503,77.4592,"high","in-progress",2024-05-05,,
32,"roads","flooding","Road completely collapsed near hospital","Road completely collapsed near hospital. Traffic at standstill.","Koramangala Ward 153",60,13.1122,77.6534,"high","in-progress",2024-07-09,,
33,"water","supply","Sewage overflow near church","Sewage overflow near church. Urgent cleaning and repair required.","Marathahalli Ward 77",106,13.1184,77.5100,"high","in-progress",2024-11-04,,
34,"water","supply","Major pipeline burst causing flooding in Rajajinagar","Major pipeline burst causing flooding in Rajajinagar. Water wastage and property damage.","Rajajinagar Ward 110",42,12.9129,77.6224,"high","pending",2024-06-21,,
35,"roads","pothole","Large pothole on Electronic City main road causing accidents","Large pothole on Electronic City main road causing accidents. 290 vehicles damaged.","Electronic City Ward 87",68,12.8743,77.5455,"high","escalated",2024-07-26,,
36,"water","leakage","No water supply for 7 days in Sarjapur Road","No water supply for 7 days in Sarjapur Road. 140 households affected. Urgent intervention needed.","Sarjapur Road Ward 56",83,12.9224,77.4451,"high","pending",2024-07-24,,
37,"electricity","billing","Frequent short circuits causing appliance damage in Basavanagudi","Frequent short circuits causing appliance damage in Basavanagudi.","Basavanagudi Ward 91",48,12.9921,77.5651,"high","pending",2024-05-01,,
38,"water","pressure","Major pipeline burst causing flooding in Jayanagar","Major pipeline burst causing flooding in Jayanagar. Water wastage and property damage.","Jayanagar Ward 6",9,12.8532,77.4807,"high","resolved",2024-04-22,2024-04-23,26
39,"water","supply","Contaminated water with foul smell in Malleshwaram","Contaminated water with foul smell in Malleshwaram. Health hazard for 550 residents.","Malleshwaram Ward 7",190,12.9224,77.4890,"high","escalated",2024-06-08,,
40,"electricity","billing","Power outage for 7 hours in Yelahanka","Power outage for 7 hours in Yelahanka. 300 homes affected.","Yelahanka Ward 190",2,12.9597,77.4973,"high","in-progress",2024-02-12,,
41,"water","pressure","Sewage overflow near post office","Sewage overflow near post office. Urgent cleaning and repair required.","BTM Layout Ward 18",68,13.0532,77.5765,"high","in-progress",2024-01-31,,
42,"electricity","transformer","Power outage for 4 hours in Malleshwaram","Power outage for 4 hours in Malleshwaram. 380 homes affected.","Malleshwaram Ward 61",125,13.0637,77.4873,"high","resolved",2024-01-23,2024-01-28,118
43,"water","leakage","No water supply for 2 days in Kammanahalli","No water supply for 2 days in Kammanahalli. 220 households affected. Urgent intervention needed.","Kammanahalli Ward 155",136,12.8773,77.6438,"high","in-progress",2024-01-26,,
44,"electricity","billing","Live wire hanging on road in JP Nagar","Live wire hanging on road in JP Nagar. Immediate safety hazard.","JP Nagar Ward 176",75,13.0710,77.7216,"high","pending",2024-12-15,,
45,"electricity","billing","Transformer sparking near metro station","Transformer sparking near metro station. Risk of fire and electric shock.","RT Nagar Ward 85",43,12.9332,77.4984,"high","escalated",2024-07-21,,
46,"roads","repair","Road completely collapsed near temple","Road completely collapsed near temple. Traffic at standstill.","Malleshwaram Ward 101",14,13.0792,77.5667,"high","pending",2024-05-26,,
47,"electricity","transformer","Frequent short circuits causing appliance damage in Whitefield","Frequent short circuits causing appliance damage in Whitefield.","Whitefield Ward 175",183,13.0508,77.4609,"high","in-progress",2024-08-10,,
48,"water","leakage","Contaminated water with foul smell in Rajajinagar","Contaminated water with foul smell in Rajajinagar. Health hazard for 290 residents.","Rajajinagar Ward 13",111,13.0747,77.4998,"high","escalated",2024-06-04,,
49,"water","quality","Contaminated water with foul smell in Indiranagar","Contaminated water with foul smell in Indiranagar. Health hazard for 560 residents.","Indiranagar Ward 151",120,13.0018,77.6087,"high","resolved",2024-10-02,2024-10-03,19
50,"water","quality","Major pipeline burst causing flooding in Electronic City","Major pipeline burst causing flooding in Electronic City. Water wastage and property damage.","Electronic City Ward 189",191,12.8383,77.7312,"high","in-progress",2024-03-19,,
51,"roads","repair","Bridge damage near Whitefield","Bridge damage near Whitefield. Structural safety concern.","Whitefield Ward 88",168,13.0892,77.6446,"high","in-progress",2024-03-20,,
52,"roads","maintenance","Bridge damage near Banashankari","Bridge damage near Banashankari. Structural safety concern.","Banashankari Ward 194",89,12.8380,77.6566,"high","in-progress",2024-08-22,,
53,"water","leakage","Contaminated water with foul smell in Koramangala","Contaminated water with foul smell in Koramangala. Health hazard for 310 residents.","Koramangala Ward 143",166,12.9240,77.6579,"high","resolved",2024-07-09,2024-07-14,108
54,"water","pressure","Sewage overflow near shopping mall","Sewage overflow near shopping mall. Urgent cleaning and repair required.","Vijayanagar Ward 186",134,12.9404,77.6934,"high","in-progress",2024-03-24,,
55,"roads","maintenance","Flooding on BTM Layout making road unusable during rain","Flooding on BTM Layout making road unusable during rain.","BTM Layout Ward 20",132,12.8245,77.6397,"high","escalated",2024-03-09,,
56,"roads","repair","Bridge damage near Banashankari","Bridge damage near Banashankari. Structural safety concern.","Banashankari Ward 87",146,13.1164,77.5514,"high","escalated",2024-05-19,,
57,"roads","maintenance","Road completely collapsed near hospital","Road completely collapsed near hospital. Traffic at standstill.","Basavanagudi Ward 198",188,12.9814,77.6199,"high","resolved",2024-08-23,2024-08-25,32
58,"water","supply","Major pipeline burst causing flooding in Yelahanka","Major pipeline burst causing flooding in Yelahanka. Water wastage and property damage.","Yelahanka Ward 188",173,13.0264,77.5844,"high","escalated",2024-03-16,,
59,"water","supply","Contaminated water with foul smell in Sarjapur Road","Contaminated water with foul smell in Sarjapur Road. Health hazard for 300 residents.","Sarjapur Road Ward 31",25,13.0695,77.6583,"high","pending",2024-06-20,,
60,"water","quality","Major pipeline burst causing flooding in Electronic City","Major pipeline burst causing flooding in Electronic City. Water wastage and property damage.","Electronic City Ward 17",172,13.0788,77.6782,"high","escalated",2024-01-16,,
61,"water","pressure","No water supply for 7 days in HSR Layout","No water supply for 7 days in HSR Layout. 430 households affected. Urgent intervention needed.","HSR Layout Ward 163",191,12.9457,77.5596,"high","in-progress",2024-01-03,,
62,"water","supply","Sewage overflow near bus stop","Sewage overflow near bus stop. Urgent cleaning and repair required.","HSR Layout Ward 29",30,12.9510,77.5069,"high","pending",2024-04-25,,
63,"roads","repair","Road completely collapsed near temple","Road completely collapsed near temple. Traffic at standstill.","Basavanagudi Ward 92",177,12.9893,77.6979,"high","in-progress",2024-08-15,,
64,"water","quality","No water supply for 3 days in Basavanagudi","No water supply for 3 days in Basavanagudi. 560 households affected. Urgent intervention needed.","Basavanagudi Ward 17",178,13.0792,77.6029,"high","in-progress",2024-09-11,,
65,"roads","repair","Bridge damage near Kammanahalli","Bridge damage near Kammanahalli. Structural safety concern.","Kammanahalli Ward 159",8,13.0704,77.5406,"high","resolved",2024-09-13,2024-09-17,97
66,"electricity","streetlight","Transformer sparking near school","Transformer sparking near school. Risk of fire and electric shock.","Banashankari Ward 120",177,12.8966,77.4618,"high","escalated",2024-11-21,,
67,"electricity","streetlight","Frequent short circuits causing appliance damage in HSR Layout","Frequent short circuits causing appliance damage in HSR Layout.","HSR Layout Ward 75",178,13.0824,77.4727,"high","resolved",2024-04-16,2024-04-20,87
68,"electricity","outage","Power outage for 1 hours in Vijayanagar","Power outage for 1 hours in Vijayanagar. 500 homes affected.","Vijayanagar Ward 71",135,13.0897,77.7143,"high","escalated",2024-06-24,,
69,"roads","maintenance","Bridge damage near Koramangala","Bridge damage near Koramangala. Structural safety concern.","Koramangala Ward 187",177,13.0195,77.6402,"high","resolved",2024-02-24,2024-02-28,84
70,"electricity","billing","Live wire hanging on road in Kammanahalli","Live wire hanging on road in Kammanahalli. Immediate safety hazard.","Kammanahalli Ward 19",148,13.0202,77.4754,"high","resolved",2024-01-09,2024-01-10,26
71,"electricity","streetlight","Live wire hanging on road in Koramangala","Live wire hanging on road in Koramangala. Immediate safety hazard.","Koramangala Ward 157",174,13.0540,77.6751,"high","escalated",2024-03-13,,
72,"electricity","outage","Transformer sparking near hospital","Transformer sparking near hospital. Risk of fire and electric shock.","Sarjapur Road Ward 28",85,12.9010,77.6303,"high","in-progress",2024-07-23,,
73,"water","quality","No water supply for 5 days in Basavanagudi","No water supply for 5 days in Basavanagudi. 430 households affected. Urgent intervention needed.","Basavanagudi Ward 99",163,13.0229,77.5261,"high","in-progress",2024-01-05,,
74,"electricity","streetlight","Live wire hanging on road in Basavanagudi","Live wire hanging on road in Basavanagudi. Immediate safety hazard.","Basavanagudi Ward 137",21,13.1155,77.7032,"high","resolved",2024-02-06,2024-02-08,44
75,"electricity","streetlight","Frequent short circuits causing appliance damage in Basavanagudi","Frequent short circuits causing appliance damage in Basavanagudi.","Basavanagudi Ward 147",98,12.9601,77.6691,"high","in-progress",2024-01-18,,
76,"electricity","outage","Live wire hanging on road in JP Nagar","Live wire hanging on road in JP Nagar. Immediate safety hazard.","JP Nagar Ward 118",75,12.8441,77.6941,"high","escalated",2024-11-07,,
77,"roads","pothole","Bridge damage near Marathahalli","Bridge damage near Marathahalli. Structural safety concern.","Marathahalli Ward 42",143,13.0363,77.7222,"high","resolved",2024-07-19,2024-07-24,109
78,"roads","repair","Bridge damage near Vijayanagar","Bridge damage near Vijayanagar. Structural safety concern.","Vijayanagar Ward 81",22,12.9034,77.5255,"high","in-progress",2024-02-18,,
79,"roads","maintenance","Large pothole on JP Nagar main road causing accidents","Large pothole on JP Nagar main road causing accidents. 340 vehicles damaged.","JP Nagar Ward 59",115,12.8724,77.5607,"high","escalated",2024-06-08,,
80,"water","quality","Sewage overflow near commercial center","Sewage overflow near commercial center. Urgent cleaning and repair required.","Rajajinagar Ward 163",3,12.8727,77.5088,"high","pending",2024-12-21,,
81,"roads","maintenance","Road completely collapsed near shopping mall","Road completely collapsed near shopping mall. Traffic at standstill.","BTM Layout Ward 127",184,13.0194,77.4497,"high","resolved",2024-12-06,2024-12-11,120
82,"electricity","streetlight","Power outage for 3 hours in Banashankari","Power outage for 3 hours in Banashankari. 290 homes affected.","Banashankari Ward 13",37,13.0041,77.7395,"high","pending",2024-04-16,,
83,"roads","pothole","Bridge damage near Indiranagar","Bridge damage near Indiranagar. Structural safety concern.","Indiranagar Ward 21",67,13.0162,77.5680,"high","in-progress",2024-06-16,,
84,"roads","maintenance","Flooding on Malleshwaram making road unusable during rain","Flooding on Malleshwaram making road unusable during rain.","Malleshwaram Ward 59",138,12.9391,77.5895,"high","in-progress",2024-01-15,,
85,"water","quality","Contaminated water with foul smell in Malleshwaram","Contaminated water with foul smell in Malleshwaram. Health hazard for 250 residents.","Malleshwaram Ward 172",2,12.9899,77.4893,"high","resolved",2024-11-09,2024-11-11,39
86,"water","supply","No water supply for 3 days in Basavanagudi","No water supply for 3 days in Basavanagudi. 330 households affected. Urgent intervention needed.","Basavanagudi Ward 114",45,12.9528,77.5141,"high","escalated",2024-12-12,,
87,"water","quality","Major pipeline burst causing flooding in Vijayanagar","Major pipeline burst causing flooding in Vijayanagar. Water wastage and property damage.","Vijayanagar Ward 109",1,13.0080,77.5057,"high","escalated",2024-05-07,,
88,"roads","repair","Bridge damage near Kammanahalli","Bridge damage near Kammanahalli. Structural safety concern.","Kammanahalli Ward 66",194,13.0960,77.4671,"high","resolved",2024-07-14,2024-07-17,57
89,"roads","pothole","Flooding on Jayanagar making road unusable during rain","Flooding on Jayanagar making road unusable during rain.","Jayanagar Ward 131",55,12.9490,77.5850,"high","in-progress",2024-03-24,,
90,"water","quality","Major pipeline burst causing flooding in Electronic City","Major pipeline burst causing flooding in Electronic City. Water wastage and property damage.","Electronic City Ward 190",171,12.8854,77.5583,"high","resolved",2024-01-04,2024-01-05,16
91,"water","quality","Sewage overflow near church","Sewage overflow near church. Urgent cleaning and repair required.","Banashankari Ward 188",7,12.8510,77.5276,"high","escalated",2024-07-05,,
92,"roads","pothole","Flooding on Hebbal making road unusable during rain","Flooding on Hebbal making road unusable during rain.","Hebbal Ward 15",68,12.8592,77.7282,"high","pending",2024-07-16,,
93,"water","leakage","Major pipeline burst causing flooding in Malleshwaram","Major pipeline burst causing flooding in Malleshwaram. Water wastage and property damage.","Malleshwaram Ward 1",61,12.8655,77.7425,"high","in-progress",2024-04-01,,
94,"roads","flooding","Road completely collapsed near park entrance","Road completely collapsed near park entrance. Traffic at standstill.","JP Nagar Ward 192",85,13.1161,77.6923,"high","pending",2024-10-24,,
95,"water","supply","Major pipeline burst causing flooding in Kammanahalli","Major pipeline burst causing flooding in Kammanahalli. Water wastage and property damage.","Kammanahalli Ward 149",25,12.9150,77.6672,"high","escalated",2024-08-31,,
96,"electricity","streetlight","Live wire hanging on road in CV Raman Nagar","Live wire hanging on road in CV Raman Nagar. Immediate safety hazard.","CV Raman Nagar Ward 7",169,13.0995,77.6905,"high","in-progress",2024-07-10,,
97,"roads","flooding","Road completely collapsed near hospital","Road completely collapsed near hospital. Traffic at standstill.","Jayanagar Ward 67",88,13.0621,77.5507,"high","escalated",2024-04-07,,
98,"roads","pothole","Bridge damage near HSR Layout","Bridge damage near HSR Layout. Structural safety concern.","HSR Layout Ward 31",11,13.0142,77.6216,"high","pending",2024-05-03,,
99,"water","supply","No water supply for 3 days in Koramangala","No water supply for 3 days in Koramangala. 580 households affected. Urgent intervention needed.","Koramangala Ward 66",51,13.0379,77.4814,"high","resolved",2024-02-21,2024-02-22,26
100,"water","supply","Contaminated water with foul smell in BTM Layout","Contaminated water with foul smell in BTM Layout. Health hazard for 240 residents.","BTM Layout Ward 120",109,12.8716,77.4655,"high","pending",2024-05-01,,
101,"electricity","billing","Frequent short circuits causing appliance damage in BTM Layout","Frequent short circuits causing appliance damage in BTM Layout.","BTM Layout Ward 34",77,12.9825,77.6876,"high","in-progress",2024-09-14,,
102,"electricity","billing","Frequent short circuits causing appliance damage in HSR Layout","Frequent short circuits causing appliance damage in HSR Layout.","HSR Layout Ward 161",150,13.0622,77.5303,"high","resolved",2024-03-17,2024-03-19,40
103,"roads","pothole","Road completely collapsed near residential complex","Road completely collapsed near residential complex. Traffic at standstill.","Koramangala Ward 1",37,13.0538,77.4505,"high","escalated",2024-01-08,,
104,"roads","pothole","Flooding on Vijayanagar making road unusable during rain","Flooding on Vijayanagar making road unusable during rain.","Vijayanagar Ward 113",157,12.8969,77.5955,"high","in-progress",2024-08-14,,
105,"water","supply","No water supply for 7 days in Electronic City","No water supply for 7 days in Electronic City. 440 households affected. Urgent intervention needed.","Electronic City Ward 21",158,12.9751,77.7326,"high","in-progress",2024-11-20,,
106,"water","supply","Contaminated water with foul smell in Electronic City","Contaminated water with foul smell in Electronic City. Health hazard for 520 residents.","Electronic City Ward 79",115,12.8925,77.5373,"high","escalated",2024-04-07,,
107,"electricity","outage","Frequent short circuits causing appliance damage in Marathahalli","Frequent short circuits causing appliance damage in Marathahalli.","Marathahalli Ward 102",120,12.8845,77.5919,"high","in-progress",2024-01-26,,
108,"electricity","billing","Transformer sparking near park entrance","Transformer sparking near park entrance. Risk of fire and electric shock.","Whitefield Ward 141",44,12.8757,77.6761,"high","in-progress",2024-05-15,,
109,"roads","flooding","Large pothole on Vijayanagar main road causing accidents","Large pothole on Vijayanagar main road causing accidents. 130 vehicles damaged.","Vijayanagar Ward 32",164,12.9481,77.6820,"high","resolved",2024-04-26,2024-04-28,36
110,"electricity","billing","Frequent short circuits causing appliance damage in CV Raman Nagar","Frequent short circuits causing appliance damage in CV Raman Nagar.","CV Raman Nagar Ward 38",36,12.9212,77.5818,"high","pending",2024-12-16,,
111,"water","leakage","Contaminated water with foul smell in Basavanagudi","Contaminated water with foul smell in Basavanagudi. Health hazard for 390 residents.","Basavanagudi Ward 99",89,13.0776,77.6282,"high","resolved",2024-05-22,2024-05-24,30
112,"electricity","billing","Power outage for 4 hours in JP Nagar","Power outage for 4 hours in JP Nagar. 150 homes affected.","JP Nagar Ward 146",113,13.1030,77.5449,"high","resolved",2024-08-06,2024-08-07,27
113,"electricity","billing","Frequent short circuits causing appliance damage in Marathahalli","Frequent short circuits causing appliance damage in Marathahalli.","Marathahalli Ward 90",178,12.9069,77.5069,"high","in-progress",2024-03-11,,
114,"roads","repair","Flooding on Malleshwaram making road unusable during rain","Flooding on Malleshwaram making road unusable during rain.","Malleshwaram Ward 35",94,12.9106,77.5894,"high","in-progress",2024-05-24,,
115,"roads","pothole","Large pothole on BTM Layout main road causing accidents","Large pothole on BTM Layout main road causing accidents. 580 vehicles damaged.","BTM Layout Ward 36",110,12.9584,77.7011,"high","resolved",2024-02-16,2024-02-17,8
116,"roads","repair","Flooding on Whitefield making road unusable during rain","Flooding on Whitefield making road unusable during rain.","Whitefield Ward 44",120,12.9290,77.5018,"high","pending",2024-01-15,,
117,"electricity","streetlight","Transformer sparking near shopping mall","Transformer sparking near shopping mall. Risk of fire and electric shock.","Hebbal Ward 101",57,13.1154,77.6563,"high","pending",2024-05-13,,
118,"electricity","billing","Power outage for 7 hours in Basavanagudi","Power outage for 7 hours in Basavanagudi. 400 homes affected.","Basavanagudi Ward 106",172,12.9346,77.6938,"high","in-progress",2024-09-12,,
119,"electricity","billing","Power outage for 3 hours in Electronic City","Power outage for 3 hours in Electronic City. 490 homes affected.","Electronic City Ward 61",61,12.9601,77.6438,"high","escalated",2024-06-08,,
120,"electricity","transformer","Frequent short circuits causing appliance damage in RT Nagar","Frequent short circuits causing appliance damage in RT Nagar.","RT Nagar Ward 149",176,12.9125,77.5013,"high","escalated",2024-09-30,,
121,"electricity","outage","Frequent short circuits causing appliance damage in Kammanahalli","Frequent short circuits causing appliance damage in Kammanahalli.","Kammanahalli Ward 29",17,12.9434,77.5568,"high","escalated",2024-05-01,,
122,"electricity","transformer","Live wire hanging on road in Jayanagar","Live wire hanging on road in Jayanagar. Immediate safety hazard.","Jayanagar Ward 21",102,12.8784,77.4826,"high","pending",2024-01-08,,
123,"water","quality","No water supply for 4 days in Yelahanka","No water supply for 4 days in Yelahanka. 450 households affected. Urgent intervention needed.","Yelahanka Ward 38",62,13.1126,77.4885,"high","escalated",2024-06-14,,
124,"electricity","transformer","Live wire hanging on road in JP Nagar","Live wire hanging on road in JP Nagar. Immediate safety hazard.","JP Nagar Ward 185",133,12.9334,77.4565,"high","escalated",2024-04-15,,
125,"electricity","transformer","Transformer sparking near police station","Transformer sparking near police station. Risk of fire and electric shock.","Kammanahalli Ward 84",103,12.8250,77.4994,"high","pending",2024-06-08,,
126,"electricity","streetlight","Power outage for 2 hours in BTM Layout","Power outage for 2 hours in BTM Layout. 440 homes affected.","BTM Layout Ward 107",26,12.9757,77.7375,"high","pending",2024-03-07,,
127,"electricity","streetlight","Power outage for 3 hours in Sarjapur Road","Power outage for 3 hours in Sarjapur Road. 330 homes affected.","Sarjapur Road Ward 6",111,12.9546,77.7304,"high","resolved",2024-02-15,2024-02-19,101
128,"water","supply","Major pipeline burst causing flooding in CV Raman Nagar","Major pipeline burst causing flooding in CV Raman Nagar. Water wastage and property damage.","CV Raman Nagar Ward 81",191,12.8423,77.5903,"high","pending",2024-01-09,,
129,"water","quality","No water supply for 3 days in BTM Layout","No water supply for 3 days in BTM Layout. 560 households affected. Urgent intervention needed.","BTM Layout Ward 143",90,12.9437,77.7012,"high","resolved",2024-02-29,2024-03-04,92
130,"electricity","streetlight","Transformer sparking near hospital","Transformer sparking near hospital. Risk of fire and electric shock.","Electronic City Ward 108",38,13.0612,77.6080,"high","pending",2024-07-15,,
131,"water","supply","No water supply for 2 days in Basavanagudi","No water supply for 2 days in Basavanagudi. 400 households affected. Urgent intervention needed.","Basavanagudi Ward 141",4,13.0369,77.7019,"high","pending",2024-04-02,,
132,"roads","maintenance","Large pothole on Rajajinagar main road causing accidents","Large pothole on Rajajinagar main road causing accidents. 560 vehicles damaged.","Rajajinagar Ward 126",197,13.0697,77.7437,"high","pending",2024-10-23,,
133,"water","supply","Contaminated water with foul smell in RT Nagar","Contaminated water with foul smell in RT Nagar. Health hazard for 590 residents.","RT Nagar Ward 43",131,13.0599,77.5159,"high","resolved",2024-01-16,2024-01-20,101
134,"water","quality","Contaminated water with foul smell in Malleshwaram","Contaminated water with foul smell in Malleshwaram. Health hazard for 230 residents.","Malleshwaram Ward 7",128,13.0766,77.6063,"high","escalated",2024-11-12,,
135,"electricity","outage","Live wire hanging on road in Yelahanka","Live wire hanging on road in Yelahanka. Immediate safety hazard.","Yelahanka Ward 162",95,13.1145,77.5871,"high","pending",2024-08-17,,
136,"roads","pothole","Bridge damage near Kammanahalli","Bridge damage near Kammanahalli. Structural safety concern.","Kammanahalli Ward 172",60,12.9896,77.6823,"high","in-progress",2024-09-11,,
137,"water","supply","No water supply for 7 days in BTM Layout","No water supply for 7 days in BTM Layout. 360 households affected. Urgent intervention needed.","BTM Layout Ward 182",127,12.9971,77.6816,"high","pending",2024-06-01,,
138,"roads","pothole","Large pothole on HSR Layout main road causing accidents","Large pothole on HSR Layout main road causing accidents. 470 vehicles damaged.","HSR Layout Ward 150",86,13.0379,77.4740,"high","resolved",2024-12-20,2024-12-25,121
139,"water","supply","Major pipeline burst causing flooding in Banashankari","Major pipeline burst causing flooding in Banashankari. Water wastage and property damage.","Banashankari Ward 101",20,12.9980,77.7324,"high","resolved",2024-08-12,2024-08-14,51
140,"roads","repair","Large pothole on BTM Layout main road causing accidents","Large pothole on BTM Layout main road causing accidents. 310 vehicles damaged.","BTM Layout Ward 122",159,12.9921,77.5273,"high","resolved",2024-04-22,2024-04-23,24
141,"roads","repair","Road completely collapsed near metro station","Road completely collapsed near metro station. Traffic at standstill.","Marathahalli Ward 36",50,13.0597,77.5475,"high","escalated",2024-10-26,,
142,"electricity","streetlight","Transformer sparking near hospital","Transformer sparking near hospital. Risk of fire and electric shock.","HSR Layout Ward 112",100,12.8809,77.4547,"high","resolved",2024-05-06,2024-05-09,74
